Year,Team,Coach,Gender,Wins,Losses,Ties
1899,Yale,Schwartz,Men,1,1,
1900,Yale,Schwartz,Men,1,3,
1901,Yale,Schwartz,Men,1,0,
1902,Yale,Schwartz,Men,4,2,
1903,Yale,Schwartz,Men,2,2,
1904,Princeton,"Feagles, S. S.",Men,0,1,
1904,Brown,"Huggins, Charlie",Men,,,
1904,Yale,Schwartz,Men,0,2,
1905,Brown,"Huggins, Charlie",Men,,,
1905,Princeton,No Team,Men,,,
1905,Yale,Schwartz,Men,5,4,
1906,Illinois,"Hockmeister, W. H.",Men,,,
1906,Brown,"Huggins, Charlie",Men,,,
1906,Yale,Schwartz,Men,3,2,
1906,Princeton,,Men,1,0,
1907,Illinois,"Hockmeister, W. H.",Men,,,
1907,Brown,"Huggins, Charlie",Men,,,
1907,Yale,Schwartz,Men,3,4,
1907,Amherst,,Men,,,
1907,Princeton,,Men,5,0,
1908,Illinois,"Hockmeister, W. H.",Men,,,
1908,Brown,"Huggins, Charlie",Men,,,
1908,Yale,Schwartz,Men,3,2,
1908,Amherst,,Men,,,
1908,Princeton,,Men,4,2,
1909,Illinois,"Hockmeister, W. H.",Men,,,
1909,Brown,"Huggins, Charlie",Men,,,
1909,Yale,Schwartz,Men,5,1,
1909,Amherst,,Men,,,
1909,Princeton,,Men,4,2,
1910,Brown,"Huggins, Charlie",Men,,,
1910,Illinois,"Norris, George B",Men,,,
1910,Yale,Schwartz,Men,4,0,
1910,Amherst,,Men,,,
1910,Princeton,,Men,1,2,
1911,Brown,"Huggins, Charlie",Men,,,
1911,Wisconsin,"Hyatt, Chauncey",Men,3,0,
1911,Cornell,"Lehman, D. H.",Men,0,4,1
1911,Illinois,"Norris, George B",Men,,,
1911,Northwestern,"Robinson, Tom H.",Men,2,2,
1911,Yale,Schwartz,Men,5,0,
1911,Chicago,"White, Joseph H",Men,0,5,
1911,Amherst,,Men,0,3,
1911,Williams,,Men,1,1+1,
1911,Columbia,,Men,3,4,
1911,Navy,,Men,0,2,
1911,Penn,,Men,5,0,
1911,Princeton,,Men,2,3,
1911,City College of New York,,Men,2,3,
1912,Cornell,"Hamilton, G. H.",Men,1,6,
1912,Brown,"Huggins, Charlie",Men,,,
1912,Wisconsin,"Hyatt, Chauncey",Men,4,0,
1912,Illinois,"Norris, George B",Men,3,1,
1912,Northwestern,"Robinson, Tom H.",Men,4,0,
1912,Princeton,"Sullivan, Frank",Men,4,1,
1912,Chicago,"White, Joseph H",Men,0,3,
1912,Amherst,,Men,0,5,
1912,Williams,,Men,,,
1912,Columbia,,Men,1,3,
1912,Navy,,Men,,,
1912,Yale,,Men,3,2,
1912,Penn,,Men,2,3,
1912,City College of New York,,Men,0,3,
1913,Brown,"Huggins, Charlie",Men,1,1+1,
1913,Wisconsin,"Hyatt, Chauncey",Men,1,3,
1913,Illinois,"Manley, Edward",Men,,,
1913,Northwestern,"Robinson, Tom H.",Men,4,0,
1913,Princeton,"Sullivan, Frank",Men,5,5,
1913,Pittsburgh,"Taylor, John T.",Men,,,
1913,Chicago,"White, Joseph H",Men,,,
1913,Amherst,,Men,2,1,
1913,Williams,,Men,,,
1913,Cornell,,Men,1,1,
1913,Cincinnati,,Men,,,
1913,Columbia,,Men,0,5+1,
1913,Navy,,Men,,,
1913,Yale,,Men,8,2,
1913,Penn,,Men,3,1,
1913,City College of New York,,Men,2,3,
1914,Cornell,"Cohen, Norman",Men,1,2,0
1914,Wisconsin,"Hindman, Harry H",Men,0,3,
1914,Brown,"Huggins, Charlie",Men,,,
1914,Illinois,"Manley, Edward",Men,2,3,
1914,Northwestern,"Robinson, Tom H.",Men,4,0,
1914,Swarthmore,"Roth, J. LeRoy",Men,0,1,
1914,Princeton,"Sullivan, Frank",Men,6,1,
1914,Pittsburgh,"Taylor, John T.",Men,,,
1914,Chicago,"White, Joseph H",Men,2,2,
1914,Amherst,,Men,3,2,
1914,Johns Hopkins,,Men,,,
1914,Williams,,Men,,,
1914,Cincinnati,,Men,,,
1914,Columbia,,Men,5,3,
1914,Navy,,Men,3,0,
1914,Yale,,Men,4,0,
1914,Penn,,Men,5,3,
1914,City College of New York,,Men,0,6,
1915,California,"Christie, Walter",Men,,,
1915,Harvard,"Cover, J.F",Men,,,
1915,Cornell,"Eisele, Werner",Men,1,2,0
1915,Wesleyan,"Eustis, E.M.",Men,1,2,
1915,Wisconsin,"Hindman, Harry H",Men,0,3,
1915,Brown,"Huggins, Charlie",Men,,,
1915,Illinois,"Manley, Edward",Men,,,
1915,Navy,Mann,Men,,,
1915,Northwestern,"Robinson, Tom H.",Men,,,
1915,Swarthmore,"Roth, J. LeRoy",Men,0,2,
1915,Princeton,"Sullivan, Frank",Men,3,4,
1915,Pittsburgh,"Taylor, John T.",Men,,,
1915,Chicago,"White, Joseph H",Men,,,
1915,Amherst,"Whitten, Philip F.",Men,,,
1915,Oregon State,,Women,,,
1915,Johns Hopkins,,Men,,,
1915,Williams,,Men,,,
1915,Cincinnati,,Men,,,
1915,Columbia,,Men,,,
1915,Yale,,Men,4,1,
1915,Penn,,Men,,,
1915,City College of New York,,Men,,,
1916,Stanford,"Brandsten, Ernie",Men,0,1,
1916,California,"Christie, Walter",Men,,,
1916,Cornell,"Eisele, Werner",Men,0,3,0
1916,Wesleyan,"Eustis, E.M.",Men,4,2,
1916,Wisconsin,"Hindman, Harry H",Men,0,3,
1916,Brown,"Huggins, Charlie",Men,,,
1916,Illinois,"Manley, Edward",Men,,,
1916,Yale,"Mann, M.",Men,8,4,
1916,Rutgers,"Reilly, James H. Sr.",Men,,,
1916,Northwestern,"Robinson, Tom H.",Men,,,
1916,Swarthmore,"Roth, J. LeRoy",Men,1,4,
1916,Princeton,"Sullivan, Frank",Men,9,3,
1916,Pittsburgh,"Taylor, John T.",Men,,,
1916,Chicago,"White, Joseph H",Men,,,
1916,Amherst,"Whitten, Philip F.",Men,,,
1916,Oregon State,,Women,,,
1916,Johns Hopkins,,Men,,,
1916,Williams,,Men,,,
1916,Harvard,,Men,,,
1916,Cincinnati,,Men,,,
1916,Columbia,,Men,,,
1916,Navy,,Men,,,
1916,Penn,,Men,,,
1916,UW-Stout,,Men,,,
1916,City College of New York,,Men,,,
1917,Springfield,"Affleck, G. B.",Men,,,
1917,Stanford,"Brandsten, Ernie",Men,7,3,
1917,MIT,Brink,Men,6,0,
1917,Cincinnati,"Brodbeck, A",Men,,,
1917,California,"Christie, Walter",Men,0,2,
1917,Wesleyan,"Fauver, Edgar",Men,5,2,
1917,Minnesota,"Foster, W. K.",Men,,,
1917,Wisconsin,"Hindman, Harry H",Men,1,1,
1917,Brown,"Huggins, Charlie",Men,1,2,
1917,Columbia,"Kennedy, Ed",Men,,,
1917,Penn,"Kistler, G. H.",Men,4,4,
1917,City College of New York,"MacKenzie, LB",Men,0,12,
1917,Illinois,"Manley, Edward",Men,1,2,
1917,Yale,"Mann, M.",Men,10,1,
1917,UW-Stout,"Mauthe, O. C.",Men,,,
1917,Amherst,"Nelligan, Prof. R.",Men,6,2,
1917,Johns Hopkins,"Nicholson, CW",Men,,,
1917,Rutgers,"Reilly, James H. Sr.",Men,,,
1917,Northwestern,"Robinson, Tom H.",Men,3,1,
1917,Williams,"Seeley, C. F.",Men,2,2,
1917,Syracuse,"Smith, R. L.",Men,2,0,
1917,Indiana,"Stiehm, E. O.",Men,,,
1917,Princeton,"Sullivan, Frank",Men,2,8,
1917,Pittsburgh,"Taylor, John T.",Men,,,
1917,Swarthmore,"Uhl, Raymond",Men,3,2,
1917,Ohio Wesleyan,"Wagner, H. H.",Men,3,0,
1917,Chicago,"White, Joseph H",Men,5,1,
1917,Purdue,,Men,,,
1917,Oregon State,,Women,,,
1917,Harvard,,Men,,,
1917,Hamline,,Men,,,
1917,Lehigh,,Men,,,
1917,DePauw,,Men,,,
1917,Stevens Institute,,Men,,,
1917,Navy,,Men,,,
1917,Union (NY),,Men,,,
1917,WPI,,Men,6,2,
1917,Ohio State,,Men,1,0,
1917,Baltimore City College,,Men,1,2,
1917,Baltimore Polytechnic Institute,,Men,4,0,
1917,Girard College,,Men,9,5,
1918,Springfield,"Affleck, G. B.",Men,,,
1918,Iowa,"Armbruster, David A.",Men,0,1,
1918,Stanford,"Brandsten, Ernie",Men,0,1,
1918,MIT,Brink,Men,,,
1918,California,"Christie, Walter",Men,,,
1918,Wesleyan,"Fauver, Edgar",Men,2,3,
1918,Minnesota,"Foster, W. K.",Men,,,
1918,Wisconsin,"Hindman, Harry H",Men,2,0,
1918,Brown,"Huggins, Charlie",Men,,,
1918,Columbia,"Kennedy, Ed",Men,,,
1918,Yale,"Kiputh, Robert",Men,9,1,
1918,Penn,"Kistler, G. H.",Men,,,
1918,Amherst,"Nelligan, Prof. R.",Men,,,
1918,Rutgers,"Reilly, James H. Sr.",Men,,,
1918,Northwestern,"Robinson, Tom H.",Men,,,
1918,Williams,"Seeley, C. F.",Men,,,
1918,Princeton,"Sullivan, Frank",Men,6,3,
1918,Pittsburgh,"Taylor, John T.",Men,,,
1918,Swarthmore,"Uhl, Raymond",Men,2,1,
1918,Ohio Wesleyan,"Wagner, H. H.",Men,,,
1918,Chicago,"White, Joseph H",Men,,,
1918,Illinois,World War I,Men,,,
1918,Purdue,,Men,,,
1918,Oregon State,,Women,,,
1918,Indiana,,Men,,,
1918,Johns Hopkins,,Men,,,
1918,Auburn,,Men,,,
1918,Harvard,,Men,,,
1918,Hamline,,Men,,,
1918,Lehigh,,Men,,,
1918,Cincinnati,,Men,,,
1918,DePauw,,Men,,,
1918,Stevens Institute,,Men,,,
1918,Syracuse,,Men,,,
1918,Navy,,Men,,,
1918,Union (NY),,Men,,,
1918,WPI,,Men,,,
1918,Ohio State,,Men,,,
1918,Baltimore City College,,Men,,,
1918,Baltimore Polytechnic Institute,,Men,,,
1918,City College of New York,,Men,,,
1918,Girard College,,Men,,,
1918,Maryville (Tenn.) College,,Men,,,
1918,Mississippi,,Men,,,
1918,Reed College (OR),,Men,,,
1919,Springfield,"Affleck, G. B.",Men,,,
1919,Iowa,"Armbruster, David A.",Men,0,0,
1919,Tennessee,"Bender, J. H.",Men,,,
1919,Girard College,"Bernard, Jr., W. E.",Men,,,
1919,Oregon,"Bezdek, H. N.",Men,,,
1919,Baltimore Polytechnic Institute,"Bolgian, C. P.",Men,,,
1919,Stanford,"Brandsten, Ernie",Men,2,3,
1919,MIT,Brink,Men,,,
1919,California,"Christie, Walter",Men,,,
1919,Indiana,"Cohn, H.",Men,,,
1919,Wesleyan,"Fauver, Edgar",Men,1,4,
1919,Minnesota,"Foster, W. K.",Men,,,
1919,WPI,"Hazelton, S. C.",Men,,,
1919,Wisconsin,"Hindman, Harry H",Men,0,0,1
1919,Brown,"Huggins, Charlie",Men,,,
1919,Columbia,"Kennedy, Ed",Men,,,
1919,Yale,"Kiputh, Robert",Men,7,0,
1919,Penn,"Kistler, G. H.",Men,,,
1919,Princeton,"Luehring, F. H.",Men,2,2,
1919,Navy,"McKinnon, H.",Men,,,
1919,City College of New York,"Meehan, Greg R",Men,,,
1919,Amherst,"Nelligan, Prof. R.",Men,,,
1919,Ohio State,"Ohlson, H. C.",Men,,,
1919,Georgia Tech,Owens,Men,1,0,
1919,Rutgers,"Reilly, James H. Sr.",Men,,,
1919,Northwestern,"Robinson, Tom H.",Men,,,
1919,Williams,"Seeley, C. F.",Men,,,
1919,Syracuse,"Smith, R. L.",Men,,,
1919,Pittsburgh,"Taylor, John T.",Men,,,
1919,Swarthmore,"Uhl, Raymond",Men,1,3,
1919,Ohio Wesleyan,"Wagner, H. H.",Men,,,
1919,Chicago,"White, Joseph H",Men,,,
1919,Illinois,World War I,Men,,,
1919,Clemson,,Men,0,1,
1919,Purdue,,Men,,,
1919,Oregon State,,Women,,,
1919,Johns Hopkins,,Men,,,
1919,Florida,,Men,,,
1919,Georgia,,Men,,,
1919,Auburn,,Men,,,
1919,Harvard,,Men,,,
1919,Hamline,,Men,,,
1919,Lehigh,,Men,,,
1919,Kentucky,,Men,,,
1919,Case Western,,Men,,,
1919,Cincinnati,,Men,,,
1919,DePauw,,Men,,,
1919,Stevens Institute,,Men,,,
1919,Army,,Men,,,
1919,Union (NY),,Men,,,
1919,Baltimore City College,,Men,,,
1919,Maryville (Tenn.) College,,Men,,,
1919,Mississippi,,Men,,,
1919,Reed College (OR),,Men,,,
1920,Georgia Tech,Alexander,Men,2,0,
1920,Iowa,"Armbruster, David A.",Men,0,3,
1920,Stanford,"Brandsten, Ernie",Men,1,1,
1920,Wesleyan,"Clark, Howard",Men,1,5,
1920,Purdue,"Clevett, M. L.",Men,,,
1920,Brown,"Finch, Myron",Men,,,
1920,Columbia,"Kennedy, Ed",Men,,,
1920,Yale,"Kiputh, Robert",Men,10,0,
1920,Swarthmore,"Mercer, LeRoy",Men,0,5,
1920,Indiana,"Rathburn, Guy",Men,,,
1920,Rutgers,"Reilly, James H. Sr.",Men,,,
1920,Northwestern,"Robinson, Tom H.",Men,,,
1920,Wisconsin,"Steinauer, Joe C.",Men,1,3,
1920,Princeton,"Sullivan, Frank",Men,6,3,
1920,Minnesota,"Thorpe, Neils",Men,4,1,0
1920,Illinois,World War I,Men,,,
1920,MIT,,Men,,,
1920,Clemson,,Men,0,1,
1920,Springfield,,Men,,,
1920,Tennessee,,Men,,,
1920,Amherst,,Men,,,
1920,California,,Men,,,
1920,Johns Hopkins,,Men,,,
1920,Florida,,Men,,,
1920,Williams,,Men,,,
1920,Georgia,,Men,,,
1920,Auburn,,Men,,,
1920,Harvard,,Men,,,
1920,Hamline,,Men,,,
1920,Lehigh,,Men,,,
1920,Kentucky,,Men,,,
1920,Case Western,,Men,,,
1920,Chicago,,Men,,,
1920,Cincinnati,,Men,,,
1920,DePauw,,Men,,,
1920,Stevens Institute,,Men,,,
1920,Syracuse,,Men,,,
1920,Army,,Men,,,
1920,Navy,,Men,,,
1920,Union (NY),,Men,,,
1920,WPI,,Men,,,
1920,Ohio State,,Men,,,
1920,Pittsburgh,,Men,,,
1920,Ohio Wesleyan,,Men,,,
1920,Penn,,Men,,,
1920,Oregon,,Men,,,
1920,Baltimore City College,,Men,,,
1920,Baltimore Polytechnic Institute,,Men,,,
1920,City College of New York,,Men,,,
1920,Girard College,,Men,,,
1921,Iowa,"Armbruster, David A.",Men,0,4,
1921,Stanford,"Brandsten, Ernie",Men,1,0,
1921,Purdue,"Clevett, M. L.",Men,,,
1921,Tulane,"Damonte, Lowell",Men,,,
1921,Washington & Lee,"Fletcher, Forest",Men,0,1,
1921,Brown,"Huggins, Charlie",Men,,,
1921,Columbia,"Kennedy, Ed",Men,,,
1921,Yale,"Kiputh, Robert",Men,14,0,
1921,Army,"Maffert, Alex",Men,,,
1921,Illinois,"Manley, Edward",Men,,,
1921,Swarthmore,"Mercer, LeRoy",Men,0,3,
1921,Wesleyan,"Quick, Clyde",Men,3,6,
1921,Rutgers,"Reilly, James H. Sr.",Men,,,
1921,Northwestern,"Robinson, Tom H.",Men,,,
1921,Indiana,"Shafer, Robert",Men,,,
1921,Wisconsin,"Steinauer, Joe C.",Men,0,4,
1921,Georgia Tech,Strum,Men,2,0,
1921,Princeton,"Sullivan, Frank",Men,4,5,
1921,Minnesota,"Thorpe, Neils",Men,2,1,0
1921,MIT,,Men,,,
1921,Clemson,,Men,0,1,
1921,Springfield,,Men,,,
1921,Tennessee,,Men,,,
1921,Amherst,,Men,,,
1921,California,,Men,,,
1921,Johns Hopkins,,Men,,,
1921,Florida,,Men,,,
1921,Williams,,Men,,,
1921,Georgia,,Men,,,
1921,Auburn,,Men,,,
1921,Harvard,,Men,,,
1921,Hamline,,Men,,,
1921,Lehigh,,Men,,,
1921,Kentucky,,Men,,,
1921,Case Western,,Men,,,
1921,Chicago,,Men,,,
1921,Cincinnati,,Men,,,
1921,DePauw,,Men,,,
1921,Stevens Institute,,Men,,,
1921,Syracuse,,Men,,,
1921,Navy,,Men,,,
1921,Union (NY),,Men,,,
1921,WPI,,Men,,,
1921,Ohio State,,Men,,,
1921,Pittsburgh,,Men,,,
1921,Ohio Wesleyan,,Men,,,
1921,Penn,,Men,,,
1921,Oregon,,Men,,,
1921,Baltimore City College,,Men,,,
1921,Baltimore Polytechnic Institute,,Men,,,
1921,City College of New York,,Men,,,
1921,Girard College,,Men,,,
1922,Iowa,"Armbruster, David A.",Men,0,2,
1922,Purdue,Barr,Men,,,
1922,Swarthmore,"Bernard, William E",Men,2,3,
1922,Stanford,"Brandsten, Ernie",Men,1,0,
1922,Tulane,"Damonte, Lowell",Men,,,
1922,Michigan State,"Flynn, Southland",Men,,,
1922,Brown,"Huggins, Charlie",Men,,,
1922,Michigan,"Jerome, John",Men,0,1,
1922,Columbia,"Kennedy, Ed",Men,,,
1922,Yale,"Kiputh, Robert",Men,13,0,
1922,Army,"Maffert, Alex",Men,,,
1922,Illinois,"Manley, Edward",Men,,,
1922,Indiana,"Null, Lester",Men,,,
1922,Rutgers,"Reilly, James H. Sr.",Men,,,
1922,Northwestern,"Robinson, Tom H.",Men,,,
1922,Wesleyan,"Steele, Richard",Men,6,5,
1922,Wisconsin,"Steinauer, Joe C.",Men,5,0,
1922,Princeton,"Sullivan, Frank",Men,3,7,
1922,Minnesota,"Thorpe, Neils",Men,4,1,0
1922,Washington & Lee,"Twombly, E. B.",Men,0,1,
1922,MIT,,Men,,,
1922,Clemson,,Men,NO TEAM,,
1922,Springfield,,Men,,,
1922,Georgia Tech,,Men,,,
1922,Tennessee,,Men,,,
1922,Amherst,,Men,,,
1922,California,,Men,,,
1922,Johns Hopkins,,Men,,,
1922,Florida,,Men,,,
1922,Williams,,Men,,,
1922,Georgia,,Men,,,
1922,Auburn,,Men,,,
1922,Harvard,,Men,,,
1922,Hamline,,Men,,,
1922,Lehigh,,Men,,,
1922,Kentucky,,Men,,,
1922,Case Western,,Men,,,
1922,Chicago,,Men,,,
1922,Cincinnati,,Men,,,
1922,DePauw,,Men,,,
1922,Stevens Institute,,Men,,,
1922,Syracuse,,Men,,,
1922,Navy,,Men,5,1,
1922,Union (NY),,Men,,,
1922,WPI,,Men,,,
1922,Ohio State,,Men,,,
1922,Pittsburgh,,Men,,,
1922,Ohio Wesleyan,,Men,,,
1922,Penn,,Men,,,
1922,Oregon,,Men,,,
1922,Baltimore City College,,Men,,,
1922,Baltimore Polytechnic Institute,,Men,,,
1922,City College of New York,,Men,,,
1922,Girard College,,Men,,,
1923,Iowa,"Armbruster, David A.",Men,1,2,
1923,Swarthmore,"Bernard, William E",Men,2,3,
1923,Stanford,"Brandsten, Ernie",Men,1,0,
1923,Michigan,"Brown, William",Men,2,2,
1923,Georgia Tech,Bulloch,Men,2,2,
1923,Tulane,"Damonte, Lowell",Men,,,
1923,Brown,"Huggins, Charlie",Men,,,
1923,Columbia,"Kennedy, Ed",Men,,,
1923,Yale,"Kiputh, Robert",Men,15,0,
1923,Illinois,"Manley, Edward",Men,,,
1923,Wesleyan,"McCurdy, Hugh",Men,4,5,1
1923,Purdue,"Merriam, C. J.",Men,,,
1923,Indiana,"Merriam, William",Men,5,2,
1923,Wooster,"Munson, Carl B.",Men,4,0,
1923,Navy,"Ortland, Jr., Henry",Men,6,1,
1923,Army,"Pendelton, A",Men,,,
1923,Michigan State,"Rausch, Richard",Men,,,
1923,Rutgers,"Reilly, James H. Sr.",Men,,,
1923,Northwestern,"Robinson, Tom H.",Men,,,
1923,Wisconsin,"Steinauer, Joe C.",Men,2,2,
1923,Princeton,"Sullivan, Frank",Men,7,2,
1923,Minnesota,"Thorpe, Neils",Men,5,1,0
1923,Washington & Lee,"Twombly, E. B.",Men,0,1,
1923,MIT,,Men,,,
1923,Clemson,,Men,1,1,
1923,Springfield,,Men,,,
1923,Tennessee,,Men,,,
1923,Amherst,,Men,,,
1923,California,,Men,,,
1923,Johns Hopkins,,Men,,,
1923,Florida,,Men,,,
1923,Williams,,Men,,,
1923,Georgia,,Men,,,
1923,Auburn,,Men,,,
1923,Harvard,,Men,,,
1923,Hamline,,Men,,,
1923,Lehigh,,Men,,,
1923,Kentucky,,Men,,,
1923,Case Western,,Men,,,
1923,Chicago,,Men,,,
1923,Cincinnati,,Men,,,
1923,DePauw,,Men,,,
1923,Stevens Institute,,Men,,,
1923,Syracuse,,Men,,,
1923,Union (NY),,Men,,,
1923,WPI,,Men,,,
1923,Ohio State,,Men,,,
1923,Pittsburgh,,Men,,,
1923,Ohio Wesleyan,,Men,,,
1923,Penn,,Men,,,
1923,Oregon,,Men,,,
1923,Baltimore City College,,Men,,,
1923,Baltimore Polytechnic Institute,,Men,,,
1923,City College of New York,,Men,,,
1923,Girard College,,Men,,,
1924,Iowa,"Armbruster, David A.",Men,3,2,
1924,Purdue,"Aylsworth, G. H.",Men,,,
1924,Stanford,"Brandsten, Ernie",Men,1,1,
1924,Michigan,"Brown, William",Men,1,2,
1924,Tulane,"Damonte, Lowell",Men,,,
1924,Brown,"Huggins, Charlie",Men,,,
1924,Michigan State,"Jones, Wright",Men,,,
1924,Columbia,"Kennedy, Ed",Men,,,
1924,Yale,"Kiputh, Robert",Men,10,4,
1924,Illinois,"Manley, Edward",Men,,,
1924,Wesleyan,"McCurdy, Hugh",Men,6,4,
1924,Indiana,"Merriam, William",Men,5,1,1
1924,Wooster,"Munson, Carl B.",Men,3,1,
1924,Navy,"Ortland, Jr., Henry",Men,7,0,
1924,Army,"Pendelton, A",Men,,,
1924,Rutgers,"Reilly, James H. Sr.",Men,,,
1924,Northwestern,"Robinson, Tom H.",Men,,,
1924,Wisconsin,"Steinauer, Joe C.",Men,2,4,
1924,Princeton,"Sullivan, Frank",Men,9,0,
1924,Minnesota,"Thorpe, Neils",Men,2,3,0
1924,Swarthmore,"Tomlinson, Gilbert",Men,1,7,
1924,Washington & Lee,"Twombly, E. B.",Men,0,1,
1924,MIT,,Men,,,
1924,Clemson,,Men,,,
1924,Springfield,,Men,,,
1924,Georgia Tech,,Men,4,0,
1924,Tennessee,,Men,,,
1924,Amherst,,Men,,,
1924,California,,Men,,,
1924,Johns Hopkins,,Men,,,
1924,Florida,,Men,,,
1924,Williams,,Men,,,
1924,Georgia,,Men,,,
1924,Auburn,,Men,,,
1924,Harvard,,Men,,,
1924,Hamline,,Men,,,
1924,Lehigh,,Men,,,
1924,Kansas,,Men,,,
1924,Iowa State,,Men,,,
1924,Kentucky,,Men,,,
1924,Case Western,,Men,,,
1924,Chicago,,Men,,,
1924,Cincinnati,,Men,,,
1924,DePauw,,Men,,,
1924,Washington,,Men,,,
1924,Stevens Institute,,Men,,,
1924,Syracuse,,Men,,,
1924,Union (NY),,Men,,,
1924,WPI,,Men,,,
1924,Ohio State,,Men,,,
1924,Pittsburgh,,Men,,,
1924,Ohio Wesleyan,,Men,,,
1924,Penn,,Men,,,
1924,Oregon,,Men,,,
1924,Baltimore City College,,Men,,,
1924,Baltimore Polytechnic Institute,,Men,,,
1924,City College of New York,,Men,,,
1924,District of Columbia,,Men,,,
1924,Girard College,,Men,,,
1925,Iowa,"Armbruster, David A.",Men,2,2,
1925,Michigan,"Barnes, Gerald",Men,4,0,
1925,Brown,"Barry, E. Leo",Men,,,
1925,Stanford,"Brandsten, Ernie",Men,2,1,
1925,Tulane,"Damonte, Lowell",Men,,,
1925,Georgia,"Jones, C.W.",Men,,,
1925,Michigan State,"Jones, Wright",Men,,,
1925,Columbia,"Kennedy, Ed",Men,,,
1925,Yale,"Kiputh, Robert",Men,14,0,
1925,Purdue,"LaBree, L. W.",Men,,,
1925,Illinois,"Manley, Edward",Men,,,
1925,Wesleyan,"McCurdy, Hugh",Men,6,2,1
1925,Indiana,"Merriam, William",Men,5,4,
1925,Wooster,"Munson, Carl B.",Men,3,2,
1925,Army,"Nill, Joseph",Men,,,
1925,Navy,"Ortland, Jr., Henry",Men,5,2,
1925,Rutgers,"Reilly, James H. Sr.",Men,,,
